ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_close,adj_volume
GE,2010-01-04,15.22,15.64,15.15,15.45,67079900.0,0.0,1.0,12.14046802079,12.475487506252,12.084631439879,12.323931072352
GE,2010-01-05,15.46,15.67,15.45,15.53,64550600.0,0.0,1.0,12.331907726768,12.499417469499,12.323931072352,12.387744307678
GE,2010-01-06,15.53,15.62,15.44,15.45,55464900.0,0.0,1.0,12.387744307678,12.45953419742,12.315954417936,12.323931072352
GE,2010-01-07,15.48,16.48,15.43,16.25,185472300.0,0.0,1.0,12.347861035599,13.145526477176,12.307977763521,12.962063425613
GE,2010-01-08,16.31,16.69,16.27,16.6,115112600.0,0.0,1.0,13.009923352108,13.313036219907,12.978016734445,13.241246330165
GE,2010-01-11,16.83,16.88,16.54,16.76,76675400.0,0.0,1.0,13.424709381727,13.464592653806,13.19338640367,13.368872800817
GE,2010-01-12,16.58,16.835,16.57,16.77,64622800.0,0.0,1.0,13.225293021333,13.428697708935,13.217316366917,13.376849455233
GE,2010-01-13,16.76,16.92,16.57,16.83,65342400.0,0.0,1.0,13.368872800817,13.496499271469,13.217316366917,13.424709381727
GE,2010-01-14,16.79,16.87,16.68,16.7,57361500.0,0.0,1.0,13.392802764064,13.45661599939,13.305059565491,13.321012874322
GE,2010-01-15,16.68,16.75,16.35,16.44,74108100.0,0.0,1.0,13.305059565491,13.360896146401,13.041829969771,13.113619859513
GE,2010-01-19,16.35,16.75,16.34,16.54,60697400.0,0.0,1.0,13.041829969771,13.360896146401,13.033853315355,13.19338640367
GE,2010-01-20,16.5,16.6817,16.33,16.5,64495600.0,0.0,1.0,13.161479786007,13.306415596742,13.025876660939,13.161479786007
GE,2010-01-21,16.47,16.48,15.95,16.02,99151200.0,0.0,1.0,13.13754982276,13.145526477176,12.72276379314,12.778600374051
GE,2010-01-22,16.55,16.76,16.09,16.11,162677700.0,0.0,1.0,13.201363058086,13.368872800817,12.834436954961,12.850390263792
GE,2010-01-25,16.46,16.53,16.22,16.37,75160400.0,0.0,1.0,13.129573168344,13.185409749254,12.938133462366,13.057783278602
GE,2010-01-26,16.33,16.7,16.26,16.35,78017000.0,0.0,1.0,13.025876660939,13.321012874322,12.970040080029,13.041829969771
GE,2010-01-27,16.29,16.39,16.03,16.3,76850600.0,0.0,1.0,12.993970043276,13.073736587434,12.786577028466,13.001946697692
GE,2010-01-28,16.43,16.45,16.01,16.16,79136000.0,0.0,1.0,13.105643205097,13.121596513928,12.770623719635,12.890273535871
GE,2010-01-29,16.22,16.5,16.07,16.08,81158600.0,0.0,1.0,12.938133462366,13.161479786007,12.818483646129,12.826460300545
GE,2010-02-01,16.2,16.34,16.1,16.25,56940500.0,0.0,1.0,12.922180153534,13.033853315355,12.842413609377,12.962063425613
GE,2010-02-02,16.27,16.95,16.24,16.85,115749400.0,0.0,1.0,12.978016734445,13.520429234716,12.954086771197,13.440662690559
GE,2010-02-03,16.79,17.03,16.62,16.68,70778200.0,0.0,1.0,13.392802764064,13.584242470043,13.257199638996,13.305059565491
GE,2010-02-04,16.48,16.5,16.01,16.04,110099200.0,0.0,1.0,13.145526477176,13.161479786007,12.770623719635,12.794553682882
GE,2010-02-05,16.04,16.19,15.25,15.79,143503200.0,0.0,1.0,12.794553682882,12.914203499119,12.164397984037,12.595137322488
GE,2010-02-08,15.83,15.84,15.47,15.6,70487000.0,0.0,1.0,12.627043940151,12.635020594567,12.339884381184,12.443580888589
GE,2010-02-09,15.76,15.89,15.43,15.6,97580300.0,0.0,1.0,12.571207359241,12.674903866646,12.307977763521,12.443580888589
GE,2010-02-10,15.57,15.87,15.5,15.69,68377100.0,0.0,1.0,12.419650925341,12.658950557814,12.363814344431,12.51537077833
GE,2010-02-11,15.62,15.79,15.48,15.77,66896700.0,0.0,1.0,12.45953419742,12.595137322488,12.347861035599,12.579184013657
GE,2010-02-12,15.59,15.75,15.35,15.55,76503100.0,0.0,1.0,12.435604234173,12.563230704825,12.244164528195,12.40369761651
GE,2010-02-16,15.7,16.12,15.68,16.04,69444800.0,0.0,1.0,12.523347432746,12.858366918208,12.507394123915,12.794553682882
GE,2010-02-17,16.19,16.22,16.06,16.15,60553900.0,0.0,1.0,12.914203499119,12.938133462366,12.810506991714,12.882296881455
GE,2010-02-18,16.1,16.29,16.08,16.24,47333500.0,0.0,1.0,12.842413609377,12.993970043276,12.826460300545,12.954086771197
GE,2010-02-19,16.14,16.25,16.0,16.17,65201600.0,0.0,1.0,12.87432022704,12.962063425613,12.762647065219,12.898250190287
GE,2010-02-22,16.23,16.34,16.16,16.25,44988000.0,0.0,1.0,12.946110116782,13.033853315355,12.890273535871,12.962063425613
GE,2010-02-23,16.19,16.32,15.86,15.95,63371100.0,0.0,1.0,12.914203499119,13.017900006523,12.650973903398,12.72276379314
GE,2010-02-24,15.98,16.14,15.88,16.02,56650600.0,0.0,1.0,12.746693756388,12.87432022704,12.66692721223,12.778600374051
GE,2010-02-25,15.76,15.95,15.71,15.92,63364500.0,0.1,1.0,12.650172229588,12.802680651137,12.610038434443,12.778600374051
GE,2010-02-26,16.0,16.15,15.95,16.06,60564400.0,0.0,1.0,12.842814446282,12.963215831716,12.802680651137,12.890975000456
GE,2010-03-01,16.1,16.15,15.83,15.9,62798300.0,0.0,1.0,12.923082036571,12.963215831716,12.70635954279,12.762546855993
GE,2010-03-02,15.92,15.95,15.83,15.9,52587600.0,0.0,1.0,12.778600374051,12.802680651137,12.70635954279,12.762546855993
GE,2010-03-03,15.98,16.29,15.95,16.03,83817400.0,0.0,1.0,12.826760928224,13.075590458121,12.802680651137,12.866894723369
GE,2010-03-04,16.03,16.16,15.97,16.11,47132200.0,0.0,1.0,12.866894723369,12.971242590745,12.818734169195,12.9311087956
GE,2010-03-05,16.19,16.37,16.15,16.35,65183900.0,0.0,1.0,12.995322867832,13.139804530352,12.963215831716,13.123751012294
